Properties at Lat: -43.400000 Lon: 172.800000
Depth 	 Vp 	 Vs 	 Rho
-63.500000 	 1.800000 	 0.480000 	 1.810000
-66.500000 	 1.800000 	 0.480000 	 1.810000
-69.500000 	 1.800000 	 0.480000 	 1.810000
-72.500000 	 1.800000 	 0.480000 	 1.810000
-75.500000 	 1.800000 	 0.480000 	 1.810000
-78.500000 	 1.800000 	 0.480000 	 1.810000
-81.500000 	 1.800000 	 0.480000 	 1.810000
-84.500000 	 1.800000 	 0.480000 	 1.810000
-87.500000 	 1.800000 	 0.480000 	 1.810000
-90.500000 	 1.800000 	 0.480000 	 1.810000
-93.500000 	 1.800000 	 0.480000 	 1.810000
-96.500000 	 1.800000 	 0.480000 	 1.810000
-99.500000 	 1.800000 	 0.480000 	 1.810000
-102.500000 	 1.800000 	 0.580000 	 1.810000
-105.500000 	 1.800000 	 0.580000 	 1.810000
-108.500000 	 1.800000 	 0.580000 	 1.810000
-111.500000 	 1.800000 	 0.580000 	 1.810000
-114.500000 	 1.800000 	 0.580000 	 1.810000
-117.500000 	 1.800000 	 0.580000 	 1.810000
-120.500000 	 1.800000 	 0.580000 	 1.810000
-123.500000 	 1.800000 	 0.580000 	 1.810000
-126.500000 	 1.800000 	 0.580000 	 1.810000
-129.500000 	 1.800000 	 0.580000 	 1.810000
-132.500000 	 1.800000 	 0.580000 	 1.810000
-135.500000 	 1.800000 	 0.580000 	 1.810000
-138.500000 	 1.800000 	 0.580000 	 1.810000
-141.500000 	 1.800000 	 0.580000 	 1.810000
-144.500000 	 1.800000 	 0.580000 	 1.810000
-147.500000 	 1.800000 	 0.580000 	 1.810000
-150.500000 	 1.800000 	 0.680000 	 1.810000
-153.500000 	 1.800000 	 0.680000 	 1.810000
-156.500000 	 1.800000 	 0.680000 	 1.810000
-159.500000 	 1.800000 	 0.680000 	 1.810000
-162.500000 	 1.800000 	 0.680000 	 1.810000
-165.500000 	 1.800000 	 0.680000 	 1.810000
-168.500000 	 1.800000 	 0.680000 	 1.810000
-171.500000 	 1.800000 	 0.680000 	 1.810000
-174.500000 	 1.800000 	 0.680000 	 1.810000
-177.500000 	 1.800000 	 0.680000 	 1.810000
-180.500000 	 1.800000 	 0.680000 	 1.810000
-183.500000 	 1.800000 	 0.680000 	 1.810000
-186.500000 	 1.800000 	 0.680000 	 1.810000
-189.500000 	 1.800000 	 0.680000 	 1.810000
-192.500000 	 1.800000 	 0.680000 	 1.810000
-195.500000 	 1.800000 	 0.680000 	 1.810000
-198.500000 	 1.800000 	 0.680000 	 1.810000
-201.500000 	 1.800000 	 0.750000 	 1.810000
-204.500000 	 1.800000 	 0.750000 	 1.810000
-207.500000 	 1.800000 	 0.750000 	 1.810000
-210.500000 	 1.800000 	 0.750000 	 1.810000
-213.500000 	 1.800000 	 0.750000 	 1.810000
-216.500000 	 1.800000 	 0.750000 	 1.810000
-219.500000 	 1.800000 	 0.750000 	 1.810000
-222.500000 	 1.800000 	 0.750000 	 1.810000
-225.500000 	 1.800000 	 0.750000 	 1.810000
-228.500000 	 1.800000 	 0.750000 	 1.810000
-231.500000 	 2.000000 	 0.608600 	 1.905000
-234.500000 	 2.000000 	 0.608600 	 1.905000
-237.500000 	 2.000000 	 0.608600 	 1.905000
-240.500000 	 2.000000 	 0.608600 	 1.905000
-243.500000 	 2.000000 	 0.608600 	 1.905000
-246.500000 	 2.000000 	 0.608600 	 1.905000
-249.500000 	 2.000000 	 0.608600 	 1.905000
-252.500000 	 2.000000 	 0.608600 	 1.905000
-255.500000 	 2.000000 	 0.608600 	 1.905000
-258.500000 	 2.000000 	 0.608600 	 1.905000
-261.500000 	 2.000000 	 0.608600 	 1.905000
-264.500000 	 2.000000 	 0.608600 	 1.905000
-267.500000 	 2.000000 	 0.608600 	 1.905000
-270.500000 	 2.000000 	 0.608600 	 1.905000
-273.500000 	 2.000000 	 0.608600 	 1.905000
-276.500000 	 2.000000 	 0.608600 	 1.905000
-279.500000 	 2.000000 	 0.608600 	 1.905000
-282.500000 	 2.000000 	 0.608600 	 1.905000
-285.500000 	 2.000000 	 0.608600 	 1.905000
-288.500000 	 2.000000 	 0.608600 	 1.905000
-291.500000 	 2.000000 	 0.608600 	 1.905000
-294.500000 	 2.000000 	 0.608600 	 1.905000
-297.500000 	 2.000000 	 0.608600 	 1.905000
-300.500000 	 2.000000 	 0.608600 	 1.905000
-303.500000 	 2.000000 	 0.608600 	 1.905000
-306.500000 	 2.000000 	 0.608600 	 1.905000
-309.500000 	 2.000000 	 0.608600 	 1.905000
-312.500000 	 2.000000 	 0.608600 	 1.905000
-315.500000 	 2.000000 	 0.608600 	 1.905000
-318.500000 	 2.000000 	 0.608600 	 1.905000
-321.500000 	 2.000000 	 0.608600 	 1.905000
-324.500000 	 2.000000 	 0.608600 	 1.905000
-327.500000 	 2.000000 	 0.608600 	 1.905000
-330.500000 	 2.000000 	 0.608600 	 1.905000
-333.500000 	 2.000000 	 0.608600 	 1.905000
-336.500000 	 2.000000 	 0.608600 	 1.905000
-339.500000 	 2.000000 	 0.608600 	 1.905000
-342.500000 	 2.000000 	 0.608600 	 1.905000
-345.500000 	 2.000000 	 0.608600 	 1.905000
-348.500000 	 2.000000 	 0.608600 	 1.905000
-351.500000 	 2.000000 	 0.608600 	 1.905000
-354.500000 	 2.000000 	 0.608600 	 1.905000
-357.500000 	 2.000000 	 0.608600 	 1.905000
-360.500000 	 2.000000 	 0.608600 	 1.905000
-363.500000 	 2.000000 	 0.608600 	 1.905000
-366.500000 	 2.000000 	 0.608600 	 1.905000
-369.500000 	 2.000000 	 0.608600 	 1.905000
-372.500000 	 2.000000 	 0.608600 	 1.905000
-375.500000 	 2.000000 	 0.608600 	 1.905000
-378.500000 	 2.000000 	 0.608600 	 1.905000
-381.500000 	 2.000000 	 0.608600 	 1.905000
-384.500000 	 2.000000 	 0.608600 	 1.905000
-387.500000 	 2.000000 	 0.608600 	 1.905000
-390.500000 	 2.000000 	 0.608600 	 1.905000
-393.500000 	 2.000000 	 0.608600 	 1.905000
-396.500000 	 2.000000 	 0.608600 	 1.905000
-399.500000 	 2.000000 	 0.608600 	 1.905000
-402.500000 	 2.000000 	 0.608600 	 1.905000
-405.500000 	 2.000000 	 0.608600 	 1.905000
-408.500000 	 2.000000 	 0.608600 	 1.905000
-411.500000 	 2.000000 	 0.608600 	 1.905000
-414.500000 	 2.000000 	 0.608600 	 1.905000
-417.500000 	 2.000000 	 0.608600 	 1.905000
-420.500000 	 2.000000 	 0.608600 	 1.905000
-423.500000 	 2.000000 	 0.608600 	 1.905000
-426.500000 	 2.000000 	 0.608600 	 1.905000
-429.500000 	 2.000000 	 0.608600 	 1.905000
-432.500000 	 2.000000 	 0.608600 	 1.905000
-435.500000 	 2.000000 	 0.608600 	 1.905000
-438.500000 	 2.000000 	 0.608600 	 1.905000
-441.500000 	 2.000000 	 0.608600 	 1.905000
-444.500000 	 2.000000 	 0.608600 	 1.905000
-447.500000 	 2.000000 	 0.608600 	 1.905000
-450.500000 	 2.000000 	 0.608600 	 1.905000
-453.500000 	 2.000000 	 0.608600 	 1.905000
-456.500000 	 2.000000 	 0.608600 	 1.905000
-459.500000 	 2.000000 	 0.608600 	 1.905000
-462.500000 	 2.000000 	 0.608600 	 1.905000
-465.500000 	 2.000000 	 0.608600 	 1.905000
-468.500000 	 2.000000 	 0.608600 	 1.905000
-471.500000 	 2.000000 	 0.608600 	 1.905000
-474.500000 	 2.000000 	 0.608600 	 1.905000
-477.500000 	 2.000000 	 0.608600 	 1.905000
-480.500000 	 2.000000 	 0.608600 	 1.905000
-483.500000 	 2.000000 	 0.608600 	 1.905000
-486.500000 	 2.000000 	 0.608600 	 1.905000
-489.500000 	 2.000000 	 0.608600 	 1.905000
-492.500000 	 2.000000 	 0.608600 	 1.905000
-495.500000 	 2.000000 	 0.608600 	 1.905000
-498.500000 	 2.000000 	 0.608600 	 1.905000
-501.500000 	 2.000000 	 0.608600 	 1.905000
-504.500000 	 2.000000 	 0.608600 	 1.905000
-507.500000 	 2.000000 	 0.608600 	 1.905000
-510.500000 	 2.000000 	 0.608600 	 1.905000
-513.500000 	 2.000000 	 0.608600 	 1.905000
-516.500000 	 2.000000 	 0.608600 	 1.905000
-519.500000 	 2.000000 	 0.608600 	 1.905000
-522.500000 	 2.000000 	 0.608600 	 1.905000
-525.500000 	 2.000000 	 0.608600 	 1.905000
-528.500000 	 2.000000 	 0.608600 	 1.905000
-531.500000 	 2.000000 	 0.608600 	 1.905000
-534.500000 	 2.000000 	 0.608600 	 1.905000
-537.500000 	 2.000000 	 0.608600 	 1.905000
-540.500000 	 2.000000 	 0.608600 	 1.905000
-543.500000 	 2.000000 	 0.608600 	 1.905000
-546.500000 	 2.000000 	 0.608600 	 1.905000
-549.500000 	 2.000000 	 0.608600 	 1.905000
-552.500000 	 2.000000 	 0.608600 	 1.905000
-555.500000 	 2.000000 	 0.608600 	 1.905000
-558.500000 	 2.000000 	 0.608600 	 1.905000
-561.500000 	 2.000000 	 0.608600 	 1.905000
-564.500000 	 2.000000 	 0.608600 	 1.905000
-567.500000 	 2.000000 	 0.608600 	 1.905000
-570.500000 	 2.000000 	 0.608600 	 1.905000
-573.500000 	 2.000000 	 0.608600 	 1.905000
-576.500000 	 2.000000 	 0.608600 	 1.905000
-579.500000 	 2.000000 	 0.608600 	 1.905000
-582.500000 	 2.000000 	 0.608600 	 1.905000
-585.500000 	 2.000000 	 0.608600 	 1.905000
